"","x"
"760",0.537528406111286
"761",0.576512964127233
"762",0.518061852883902
"763",0.415833011940922
"764",0.414901939957125
"765",0.516111636452192
"766",0.592785094722793
"767",0.49962520831524
"768",0.545168078837798
"769",0.543117303495809
"770",0.548940164628107
"771",0.395552991910471
"772",0.424429821825971
"773",0.507621928927993
"774",0.371918211896849
"775",0.399583786579597
"776",0.472634539058076
"777",0.473347246873498
"778",0.473855824119157
"779",0.466987302612144
"780",0.553545676050746
"781",0.598041045081957
"782",0.555768813248151
"783",0.543249041013951
"784",-0.535508906068639
"785",-0.535508906068639
"786",-0.0139334996805443
"787",0.221093992419011
"788",0.111998784717996
"789",0.164537141197563
"790",0.170522399511243
"791",0.174891116991321
"792",0.345041127884051
"793",0.510151652091162
"794",0.311315745739679
"795",0.306542457119725
"796",0.475635208606507
"797",0.572498135088298
"798",0.445785614031563
"799",0.500955926485974
"800",0.430149355515052
"801",0.453486946737941
"802",0.602932743801096
"803",0.663908934666214
"804",0.915297965564957
"805",1.07549489973688
"806",1.10691670988214
"807",1.35814576920768
"808",1.42282734727849
"809",1.0417075377254
"810",0.870632661344692
"811",0.832657289318112
"812",0.972103308569098
"813",0.972410805301811
"814",0.872758819832494
"815",0.96442255927319
"816",1.09262374155501
"817",1.15383957355091
"818",1.16132692469301
"819",1.49705783705179
"820",1.37081028975572
"821",1.11668457645375
"822",-0.696721776889365
"823",-0.649602320423735
"824",-1.12615853166956
"825",-1.12615853166956
"826",-1.12615853166956
"827",-1.12615853166956
"828",-1.12615853166956
"829",-1.12615853166956
"830",-1.12615853166956
"831",-1.12615853166956
"832",-1.12615853166956
"833",-1.12615853166956
"834",-1.12615853166956
"835",-1.12615853166956
"836",-1.12615853166956
"837",-1.12615853166956
"838",-1.12615853166956
"839",-1.12615853166956
"840",-1.12615853166956
"841",-1.12615853166956
"842",-1.12615853166956
"843",-1.12615853166956
"844",-1.12615853166956
"845",-1.12615853166956
"846",-1.12615853166956
"847",-1.12615853166956
"848",-1.12615853166956
"849",-1.12615853166956
"850",-1.12615853166956
"851",-1.12615853166956
"852",-1.12615853166956
"853",-1.12615853166956
"854",-1.12615853166956
